䊗 #00004297
𬶔 #0002cd94
\U000397a0 #000397a0
\U00037062 #00037062
\U0003c411 #0003c411
𨕓 #00028553
\U00038e63 #00038e63
𑻥 #00011ee5
\uf5eb #0000f5eb
𞴴 #0001ed34
욙 #0000c699
繧 #00007e67
妘 #00005998
𦙝 #0002665d
걿 #0000ac7f
\U0001b8e3 #0001b8e3
𥁼 #0002507c
둅 #0000b445
\U00036a53 #00036a53
\U0001664c #0001664c
\ueefb #0000eefb
𣔥 #00023525
\U0001fe85 #0001fe85
\U0003d539 #0003d539
\U00014efc #00014efc
𗴒 #00017d12
\U00016632 #00016632
𥕝 #0002555d
蓧 #000084e7
\U000349ac #000349ac
膿 #000081bf
\U00038ccb #00038ccb
䢻 #000048bb
𡹃 #00021e43
𫜭 #0002b72d
\U00011ba2 #00011ba2
\U000356f7 #000356f7
𦣤 #000268e4
𫹴 #0002be74
鎯 #000093af
\U00015ce3 #00015ce3
𩏓 #000293d3
꿃 #0000afc3
\U0003b5e9 #0003b5e9
\U0002ff26 #0002ff26
\U0003fab8 #0003fab8
켬 #0000cf2c
\U0001ec65 #0001ec65
\U0003f2f9 #0003f2f9
𡻌 #00021ecc
\U000135c2 #000135c2
𬚽 #0002c6bd
\U0003aeb3 #0003aeb3
\U0003dee4 #0003dee4
\U00039d50 #00039d50
𑣏 #000118cf
𠝏 #0002074f
廀 #00005ec0
\U000378e2 #000378e2
逃 #00009003
\U00035619 #00035619
𝡔 #0001d854
𢽥 #00022f65
𦚩 #000266a9
\U0003a4a1 #0003a4a1
𤓟 #000244df
✝ #0000271d
ẳ #00001eb3
㊜ #0000329c
多 #0000591a
䑇 #00004447
\U00035451 #00035451
\U0003c872 #0003c872
𒂱 #000120b1
𭔹 #0002d539
𠉰 #00020270
\U000150b0 #000150b0
\U00035bec #00035bec
𘖂 #00018582
﮺ #0000fbba
\U0001c528 #0001c528
𗄔 #00017114
事 #00004e8b
𡴛 #00021d1b
𰥕 #00030955
𢾿 #00022fbf
浏 #00006d4f
𪬩 #0002ab29
𧋂 #000272c2
\U00039bf7 #00039bf7
\U0002fd89 #0002fd89
𬮨 #0002cba8
밋 #0000bc0b
𩷭 #00029ded
\U0001cfae #0001cfae
\u07bf #000007bf
ᢴ #000018b4
\U00036d3d #00036d3d
𠙫 #0002066b
炲 #000070b2
𧖲 #000275b2
𡾛 #00021f9b
\U00010af7 #00010af7
𦑽 #0002647d
\U0003b27e #0003b27e
𠲆 #00020c86
\U0001bafc #0001bafc
\U0001c5f4 #0001c5f4
𩡉 #00029849
\U0002f42b #0002f42b
鋪 #000092ea
\U0001184b #0001184b
\U00036931 #00036931
蛭 #000086ed
\U000373fe #000373fe
𩔑 #00029511
\ue93d #0000e93d
\U0003f290 #0003f290
춿 #0000cdbf
\U0001cd4e #0001cd4e
\U0003140a #0003140a
㋝ #000032dd
𢝭 #0002276d
븞 #0000be1e
擉 #000064c9
\U00038644 #00038644
\U0001c018 #0001c018
\U000150d7 #000150d7
𣎂 #00023382
𩦿 #000299bf
萑 #00008411
\U0001ddde #0001ddde
\U0001c0e7 #0001c0e7
\U0001aa1f #0001aa1f
🬽 #0001fb3d
𠆎 #0002018e
ợ #00001ee3
\U00031a75 #00031a75
\U00036b3f #00036b3f
\U0001a9a3 #0001a9a3
𫍆 #0002b346
𡪙 #00021a99
\U0003caac #0003caac
\U0003e09c #0003e09c
𮘉 #0002e609
\U0002ed6b #0002ed6b
🡦 #0001f866
𧤗 #00027917
\U0003f74d #0003f74d
疯 #000075af
\U0003fb67 #0003fb67
\U0003f1f1 #0003f1f1
\U0001bf25 #0001bf25
\ue095 #0000e095
簟 #00007c1f
\U00035a3c #00035a3c
\U0001527f #0001527f
\U0003ef70 #0003ef70
\U000143e2 #000143e2
𘖣 #000185a3
\U0003d17e #0003d17e
킌 #0000d08c
\U0003909a #0003909a
\U000358e5 #000358e5
썪 #0000c36a
𥛥 #000256e5
\U00016387 #00016387
\U00016af6 #00016af6
ध #00000927
𗶎 #00017d8e
┝ #0000251d
\U0003446b #0003446b
𤘱 #00024631
短 #000077ed
랓 #0000b793
𨛃 #000286c3
𘂘 #00018098
솻 #0000c1bb
夽 #0000593d
\U0003772e #0003772e
\U0001e67b #0001e67b
𭳃 #0002dcc3
ঠ #000009a0
\U000149a3 #000149a3
阅 #00009605
㠍 #0000380d
\U0003f251 #0003f251
攺 #0000653a
𠐖 #00020416
再 #0000518d
㤋 #0000390b
\U0003fe2a #0003fe2a
𭮡 #0002dba1
𩹃 #00029e43
𣭚 #00023b5a
痀 #000075c0
\U0001a14e #0001a14e
ﰔ #0000fc14
\U0003469a #0003469a
턠 #0000d120
蓻 #000084fb
𘛥 #000186e5
\U0001078b #0001078b
\U0001cc8c #0001cc8c
ㄧ #00003127
\U0003c56a #0003c56a
\U00037a95 #00037a95
𧴪 #00027d2a
𬭓 #0002cb53
\U00013ed9 #00013ed9
𰑊 #0003044a
𥽵 #00025f75
𡁫 #0002106b
\U00013f11 #00013f11
\ufdcb #0000fdcb
𭔝 #0002d51d
\U00015a0b #00015a0b
\U0003b60e #0003b60e
\U00012b9b #00012b9b
\U00036301 #00036301
\U000390b2 #000390b2
\U00013941 #00013941
𬪞 #0002ca9e
⚌ #0000268c
\U00019cf0 #00019cf0
\U0001bf63 #0001bf63
𨾚 #00028f9a
\u0890 #00000890
𬋝 #0002c2dd
\U0001b974 #0001b974
𢫍 #00022acd
𖼫 #00016f2b
\U0003a727 #0003a727
𧡬 #0002786c
𢽸 #00022f78
㔃 #00003503
鼚 #00009f1a
劖 #00005296
\U0003d7bd #0003d7bd
猥 #00007325
𦲐 #00026c90
\U00031e9f #00031e9f
\U000359ed #000359ed
\U0001c257 #0001c257
벴 #0000bcb4
\U0003a9f0 #0003a9f0
\U00039df5 #00039df5
𡪱 #00021ab1
霍 #0000970d
ἑ #00001f11
\U00018e60 #00018e60
\U000146c1 #000146c1
\U00036eb3 #00036eb3
𤴢 #00024d22
倰 #00005030
ム #000030e0
\U00016dcf #00016dcf
\U0003eb15 #0003eb15
\U0001d277 #0001d277
\U00034e22 #00034e22
䒌 #0000448c
\U0003bcf4 #0003bcf4
虚 #0000865a
\U0003142e #0003142e
𧃽 #000270fd
\U00032780 #00032780
\U00034062 #00034062
𫢆 #0002b886
\U000355b5 #000355b5
𪦣 #0002a9a3
๛ #00000e5b
\U0003fad1 #0003fad1
\U0003e485 #0003e485
䋠 #000042e0
\U0001bee5 #0001bee5
𝧧 #0001d9e7
𑰴 #00011c34
\U0001c8b8 #0001c8b8
\U0003e5b0 #0003e5b0
羔 #00007f94
\U00015b07 #00015b07
\U000359bb #000359bb
\U0003c22b #0003c22b
𪥹 #0002a979
\U0003671e #0003671e
🪜 #0001fa9c
\U0003b13a #0003b13a
𓇟 #000131df
뵆 #0000bd46
퉨 #0000d268
𗬧 #00017b27
\U0003fa98 #0003fa98
𔗔 #000145d4
\U0002f47d #0002f47d
槭 #000069ed
\U0003930f #0003930f
\U00032a0f #00032a0f
蒹 #000084b9
𡬠 #00021b20
𡧻 #000219fb
\uecfb #0000ecfb
\U0003a565 #0003a565
\U00032e20 #00032e20
𐰢 #00010c22
𨲷 #00028cb7
\U00012e9b #00012e9b
뾊 #0000bf8a
\U000322a6 #000322a6
\U0001095e #0001095e
𑫴 #00011af4
\U00035bfe #00035bfe
剧 #00005267
\U00032ecc #00032ecc
\U00012f86 #00012f86
\U0002f484 #0002f484
𣵥 #00023d65
𓉵 #00013275
㜶 #00003736
\U0001eed9 #0001eed9
替 #000066ff
괧 #0000ad27
䣈 #000048c8
\U00010d73 #00010d73
\U0001acf0 #0001acf0
兩 #0000f978
\u0a50 #00000a50
\U0003e113 #0003e113
\U00037d84 #00037d84
𩡙 #00029859
唧 #00005527
\U0001cd7b #0001cd7b
𩆂 #00029182
𢵯 #00022d6f
\U0001cf93 #0001cf93
\U00037ccb #00037ccb
\U0002f443 #0002f443
𥮑 #00025b91
𭱖 #0002dc56
閶 #000095b6
𮨵 #0002ea35
𥯁 #00025bc1
𧣗 #000278d7
\U0001547f #0001547f
ꩳ #0000aa73
\U00038bb8 #00038bb8
\U0001ed44 #0001ed44
𣀆 #00023006
\U00016fc9 #00016fc9
\U0001617e #0001617e
𠙚 #0002065a
𣸙 #00023e19
𫋆 #0002b2c6
𨋶 #000282f6
𐁉 #00010049
𦎜 #0002639c
\U000164f1 #000164f1
\U00014b07 #00014b07
𩂣 #000290a3
\U00031d17 #00031d17
\U0003e85b #0003e85b
𣛗 #000236d7
\U0003f479 #0003f479
踭 #00008e2d
\U000382c7 #000382c7
䓟 #000044df
\U0001e9b4 #0001e9b4
\U000343c9 #000343c9
𢨐 #00022a10
\U0001a470 #0001a470
\U00015d9f #00015d9f
\U000163b3 #000163b3
\U00012ed6 #00012ed6
🜒 #0001f712
苭 #000082ed
퀶 #0000d036
톉 #0000d189
𭋁 #0002d2c1
𮓢 #0002e4e2
𑣟 #000118df
\U00014c6c #00014c6c
\U0003a1ad #0003a1ad
皗 #00007697
\U00016750 #00016750
𐜏 #0001070f
䬾 #00004b3e
永 #00006c38
縘 #00007e18
\U00033493 #00033493
\U00031a9e #00031a9e
\U00031d0e #00031d0e
\U00014d33 #00014d33
𛃩 #0001b0e9
疖 #00007596
𒀣 #00012023
\U0003454e #0003454e
\U000324a5 #000324a5
𰓒 #000304d2
\U00039b9c #00039b9c
\U0003d873 #0003d873
𭷥 #0002dde5
堵 #00005835
\U00015c6d #00015c6d
疼 #000075bc
\U00014dde #00014dde
𑐐 #00011410
\U00039f53 #00039f53
𐒕 #00010495
\U0001e2b3 #0001e2b3
\U00038445 #00038445
🞽 #0001f7bd
𪩻 #0002aa7b
\U00035b4f #00035b4f
\U000136d9 #000136d9
\U0003432e #0003432e
𪌮 #0002a32e
𫀏 #0002b00f
\ue48a #0000e48a
\U00038592 #00038592
㼠 #00003f20
\U00038d88 #00038d88
㾚 #00003f9a
膝 #0000819d
\U0001f2ce #0001f2ce
\U000355df #000355df
\U0003927e #0003927e
\U0001e4ad #0001e4ad
\U00032a14 #00032a14
\U0003e4c3 #0003e4c3
\U000371f5 #000371f5
\ue6ed #0000e6ed
嬀 #00005b00
𡒚 #0002149a
𫲪 #0002bcaa
\U0001fecd #0001fecd
𠀩 #00020029
𘊯 #000182af
\ua959 #0000a959
銅 #00009285
𧋜 #000272dc
\ue63f #0000e63f
襷 #00008977
\U00015146 #00015146
鹇 #00009e47
\uf011 #0000f011
\U0003405f #0003405f
镭 #0000956d
\U0001b439 #0001b439
\U0003a21d #0003a21d
讄 #00008b84
鍃 #00009343
\U00018fe0 #00018fe0
𥩘 #00025a58
\U0003ba32 #0003ba32
뭏 #0000bb4f
\u200f #0000200f
\U000148cd #000148cd
ꑔ #0000a454
𠟉 #000207c9
\U000148b3 #000148b3
𣜻 #0002373b
𢔺 #0002253a
\U00036114 #00036114
\U000378cc #000378cc
𪧔 #0002a9d4
ь #0000044c
𦺤 #00026ea4
श #00000936
𩥒 #00029952
𨁈 #00028048
\U0001ceab #0001ceab
\U000152ba #000152ba
\U0001b5d0 #0001b5d0
𩌼 #0002933c
\U00031f9d #00031f9d
\U0003fc73 #0003fc73
𤌻 #0002433b
넎 #0000b10e
发 #000053d1
쒙 #0000c499
𢙤 #00022664
\U000119ec #000119ec
𠢵 #000208b5
\U00038f9a #00038f9a
敾 #0000657e
𦽿 #00026f7f
\U000190ed #000190ed
朱 #00006731
\U000191cf #000191cf
𥒟 #0002549f
\U00014b49 #00014b49
\U0002fced #0002fced
㽦 #00003f66
\uf833 #0000f833
𣤜 #0002391c
\U0001c11b #0001c11b
㧷 #000039f7
𬨱 #0002ca31
𨗾 #000285fe
⨈ #00002a08
𧦦 #000279a6
큞 #0000d05e
ஓ #00000b93
𝐀 #0001d400
𠴄 #00020d04
\U0001cf56 #0001cf56
\U00032a29 #00032a29
𝇝 #0001d1dd
\U0003b155 #0003b155
\U0003a812 #0003a812
\U0002ee1b #0002ee1b
缝 #00007f1d
𪨮 #0002aa2e
矆 #000077c6
\U00035ec6 #00035ec6
\U0003df97 #0003df97
\U0001c51d #0001c51d
\U0003e3ff #0003e3ff
雇 #000096c7
뀌 #0000b00c
🅬 #0001f16c
\U0001e1c1 #0001e1c1
\U0001df17 #0001df17
𗳿 #00017cff
侬 #00004fac
\U0003a8d3 #0003a8d3
鯩 #00009be9
\U00015ebe #00015ebe
\U00036c73 #00036c73
\U0003ada8 #0003ada8
𘈣 #00018223
\uf545 #0000f545
𦇁 #000261c1
黛 #00009edb
\U00035227 #00035227
𑫒 #00011ad2
𪕷 #0002a577
\U000335ac #000335ac
\U00011f87 #00011f87
𰯛 #00030bdb
栗 #00006817
ᤓ #00001913
\U0003e635 #0003e635
𰆑 #00030191
\U0003a01f #0003a01f
\U00034f63 #00034f63
𡲩 #00021ca9
\U0003bc63 #0003bc63
\U0002f589 #0002f589
𫿸 #0002bff8
𐚑 #00010691
❋ #0000274b
𪝳 #0002a773
쁀 #0000c040
\U000147a2 #000147a2
ൖ #00000d56
\U0003459b #0003459b
\U00038cc0 #00038cc0
𩄨 #00029128
\U00016fdd #00016fdd
국 #0000ad6d
𥳍 #00025ccd
휍 #0000d70d
𘘶 #00018636
𛀡 #0001b021
᱘ #00001c58
𬹾 #0002ce7e
\U00038dcc #00038dcc
\U0003275b #0003275b
\U0003baf5 #0003baf5
\U0003a75f #0003a75f
蹾 #00008e7e
𘲏 #00018c8f
ञ #0000091e
𦧀 #000269c0
\U0001cba7 #0001cba7
\U00011778 #00011778
\U000362ac #000362ac
\U0003c6df #0003c6df
柂 #000067c2
\U00015012 #00015012
鳺 #00009cfa
𣓑 #000234d1
别 #0000522b
\U0002f035 #0002f035
\U0003b04e #0003b04e
龄 #00009f84
𤀄 #00024004
\uf64a #0000f64a
\U0003c08e #0003c08e
\U0003b564 #0003b564
ὶ #00001f76
狕 #000072d5
\U000359f7 #000359f7
关 #00005173
𦃓 #000260d3
巡 #00005de1
\U00013687 #00013687
呅 #00005445
뉚 #0000b25a
\U000362d8 #000362d8
\U0001b432 #0001b432
𢳰 #00022cf0
🝃 #0001f743
ࡨ #00000868
𣶈 #00023d88
𥘟 #0002561f
𤤶 #00024936
\U00032b56 #00032b56
𢑁 #00022441
\U0003f0ad #0003f0ad
\U00013bc2 #00013bc2
奈 #00005948
𨈲 #00028232
\U0003f43c #0003f43c
\U00033525 #00033525
럀 #0000b7c0
\U0001a56e #0001a56e
\U00036cf3 #00036cf3
𖡥 #00016865
캜 #0000ce9c
𨘦 #00028626
𰢆 #00030886
綩 #00007da9
柈 #000067c8
\U0003caf1 #0003caf1
\U0001be5e #0001be5e
遉 #00009049
𢶸 #00022db8
ᩄ #00001a44
\ufaf0 #0000faf0
\U0003d49e #0003d49e
넴 #0000b134
靷 #00009777
\U0001bdac #0001bdac
𪦑 #0002a991
至 #000081f3
\U0003b699 #0003b699
𱆍 #0003118d
ע #000005e2
拓 #000062d3
𘄔 #00018114
\U0001f88d #0001f88d
鵧 #0002fa0f
\U0001eb94 #0001eb94
䌄 #00004304
\U0003b215 #0003b215
压 #0000538b
𬎪 #0002c3aa
\U00033cd5 #00033cd5
菲 #000083f2
偏 #0000504f
\U00037c98 #00037c98
𫧲 #0002b9f2
\U0003b8b4 #0003b8b4
\U000110ff #000110ff
\U00039894 #00039894
𬵙 #0002cd59
\U0001a5d9 #0001a5d9
\U0001de9f #0001de9f
𤧹 #000249f9
𰴞 #00030d1e
ﺵ #0000feb5
\U0002faab #0002faab
𫞹 #0002b7b9
𦦫 #000269ab
\U00033c28 #00033c28
𧏭 #000273ed
𒉢 #00012262
\U000364a2 #000364a2
\U0001a7bf #0001a7bf
\U000129b1 #000129b1
𮘳 #0002e633
𦄰 #00026130
\U0003641a #0003641a
𩅽 #0002917d
𩼥 #00029f25
\U0003c758 #0003c758
\U0003cad5 #0003cad5
殤 #00006ba4
\U0003daa5 #0003daa5
\U0001c56f #0001c56f
ẘ #00001e98
\uf837 #0000f837
\U000371f7 #000371f7
𘇃 #000181c3
ᵏ #00001d4f
\U00037d0f #00037d0f
𤷰 #00024df0
𧻟 #00027edf
\U0003c364 #0003c364
𮂜 #0002e09c
\U00031edc #00031edc
\U00036343 #00036343
\U0003c7eb #0003c7eb
𗉠 #00017260
\U0003252d #0003252d
𓀣 #00013023
\U00037855 #00037855
\U0003796a #0003796a
𡽴 #00021f74
𣗢 #000235e2
\U0002fce6 #0002fce6
\U000197e7 #000197e7
\U0003624a #0003624a
\U0003e75a #0003e75a
\u2e6b #00002e6b
\U00019a4b #00019a4b
🅉 #0001f149
𩐬 #0002942c
播 #000064ad
\U00035d01 #00035d01
\U0003dd5c #0003dd5c
\U00032d7d #00032d7d
𫽝 #0002bf5d
墠 #000058a0
𡜻 #0002173b
真 #0002f946
긥 #0000ae25
䖀 #00004580
\U0001dca9 #0001dca9
딋 #0000b50b
𭿧 #0002dfe7
𧶐 #00027d90
\U0003647a #0003647a
\U00033d43 #00033d43
𭹯 #0002de6f
循 #00005faa
𪟠 #0002a7e0
\U00035085 #00035085
\U0001ce09 #0001ce09
ﹰ #0000fe70
\U00032e0a #00032e0a
\U0001424c #0001424c
\U0003fb08 #0003fb08
𪎙 #0002a399
𛱪 #0001bc6a
欲 #00006b32
ퟄ #0000d7c4
\U000134c6 #000134c6
𐙖 #00010656
𐫵 #00010af5
𦚖 #00026696
𣏃 #000233c3
𒈏 #0001220f
𥀌 #0002500c
\u1b7e #00001b7e
櫦 #00006ae6
\ue913 #0000e913
\U00033cf1 #00033cf1
\U0001e4f2 #0001e4f2
𫋊 #0002b2ca
\U0003a490 #0003a490
\U00010dd1 #00010dd1
깱 #0000ae71
\U00018ce8 #00018ce8
𣤙 #00023919
块 #00005757
\U00019363 #00019363
\U0003c773 #0003c773
𧶝 #00027d9d
\U00016c73 #00016c73
\U0003d9a2 #0003d9a2
\U000137f9 #000137f9
𖢵 #000168b5
\U00014d8d #00014d8d
\ufdef #0000fdef
𭝂 #0002d742
ᜒ #00001712
𤑹 #00024479
㯹 #00003bf9
𒅝 #0001215d
𣢥 #000238a5
𗹓 #00017e53
⒜ #0000249c
恥 #00006065
𮔷 #0002e537
Ἒ #00001f1a
\U00039b18 #00039b18
\U0003b9e0 #0003b9e0
\U00014c25 #00014c25
𗧦 #000179e6
\U0001bd25 #0001bd25
猯 #0000732f
\U0002f7c2 #0002f7c2
\U000345f3 #000345f3
推 #000063a8
\U000126ae #000126ae
\U0002ee33 #0002ee33
\U0001c17a #0001c17a
沮 #00006cae
\U0003d72f #0003d72f
\U0003fc26 #0003fc26
𤒑 #00024491
\U00013826 #00013826
𘉎 #0001824e
\U0001666d #0001666d
\U0003dcb9 #0003dcb9
\U0002fe45 #0002fe45
𮏀 #0002e3c0
𨺷 #00028eb7
\U00037e54 #00037e54
𛀙 #0001b019
\U00039967 #00039967
흦 #0000d766
𡡗 #00021857
\U00037bfc #00037bfc
\U0002eff0 #0002eff0
\U0003b3ab #0003b3ab
\U0003c090 #0003c090
\U000371d6 #000371d6
\U0003d68d #0003d68d
\U0001ac25 #0001ac25
𝞣 #0001d7a3
א #000005d0
𗉋 #0001724b
\U000138ed #000138ed
普 #0000666e
十 #00005341
𭞞 #0002d79e
𰺇 #00030e87
𢌙 #00022319
回 #000056de
𢒷 #000224b7
퉈 #0000d248
𣞚 #0002379a
類 #0000f9d0
\U0003c78f #0003c78f
\U00036aae #00036aae
\U0003a648 #0003a648
鮨 #00009ba8
層 #00005c64
\U00016e1e #00016e1e
🇧 #0001f1e7
𩣑 #000298d1
\U00013e71 #00013e71
\U0003d4b3 #0003d4b3
𗀃 #00017003
\U00039610 #00039610
𣻖 #00023ed6
\U00035565 #00035565
𰀁 #00030001
\U0001e499 #0001e499
𓋰 #000132f0
𫪦 #0002baa6
콠 #0000cf60
𢀖 #00022016
结 #00007ed3
廊 #00005eca
ꔴ #0000a534
\ue4f6 #0000e4f6
𤣋 #000248cb
\U0003df8e #0003df8e
\U00010d40 #00010d40
ꍢ #0000a362
𫲦 #0002bca6
\U00033915 #00033915
\U00037b42 #00037b42
赧 #00008d67
\U0003571f #0003571f
兵 #00005175
🪦 #0001faa6
㻳 #00003ef3
ﶛ #0000fd9b
酺 #0000917a
ᖽ #000015bd
\U0003c87e #0003c87e
\U0002ec9a #0002ec9a
精 #00007cbe
\ue161 #0000e161
\uf725 #0000f725
솬 #0000c1ac
ꖔ #0000a594
\U0002fda6 #0002fda6
\U000105bd #000105bd
\U0002ecc7 #0002ecc7
𮂖 #0002e096
\U00038822 #00038822
𐁜 #0001005c
吉 #00005409
M #0000004d
\U0003a2b2 #0003a2b2
𩜐 #00029710
𤨒 #00024a12
䑓 #00004453
\U0003416f #0003416f
ậ #00001ead
𐋇 #000102c7
\U0001e19a #0001e19a
䴩 #00004d29
\U00037e9c #00037e9c
\U0003c0db #0003c0db
𨒄 #00028484
\U00035c42 #00035c42
⚜ #0000269c
\U0001c2b5 #0001c2b5
\U0001a9f1 #0001a9f1
𗺲 #00017eb2
輑 #00008f11
\U000389f4 #000389f4
\U00033dc9 #00033dc9
읎 #0000c74e
𭵚 #0002dd5a
\U0001dff2 #0001dff2
\U0002fb01 #0002fb01
𠇺 #000201fa
𦭵 #00026b75
\U0002f43e #0002f43e
\U0001ae6f #0001ae6f
\U00015fae #00015fae
𡉟 #0002125f
\U0003d6e0 #0003d6e0
\U0003fa9a #0003fa9a
ޏ #0000078f
𑐹 #00011439
\U00015657 #00015657
𩦩 #000299a9
𡥐 #00021950
\U00034cd6 #00034cd6
𩮟 #00029b9f
𐮜 #00010b9c
\U00032e4d #00032e4d
\U0001a915 #0001a915
䃉 #000040c9
\U0003d7fe #0003d7fe
ᬥ #00001b25
\U0003d579 #0003d579
膉 #00008189
듟 #0000b4df
𫻼 #0002befc
\U0003d77c #0003d77c
岩 #00005ca9
\U0003463e #0003463e
\U0001c906 #0001c906
ū #0000016b
𪵉 #0002ad49
𰛗 #000306d7
\U0001591a #0001591a
⡧ #00002867
䯂 #00004bc2
𦍶 #00026376
𭨷 #0002da37
䴝 #00004d1d
\ue65d #0000e65d
𐠐 #00010810
析 #00006790
\U00019531 #00019531
𘠔 #00018814
𥝜 #0002575c
\U00032948 #00032948
𠕬 #0002056c
杨 #00006768
\U000350d4 #000350d4
𡔭 #0002152d
\U0003ef3b #0003ef3b
𮛔 #0002e6d4
瓙 #000074d9
𥄕 #00025115
𥰇 #00025c07
𤢤 #000248a4
🁲 #0001f072
嘡 #00005621
𫏭 #0002b3ed
\U00034f3a #00034f3a
𥕟 #0002555f
\U00039e85 #00039e85
\U0003c8e7 #0003c8e7
陆 #00009646
첨 #0000cca8
⁷ #00002077
\U0001589d #0001589d
゚ #0000309a
\U0001fe9f #0001fe9f
\U00013d69 #00013d69
⛫ #000026eb
\U00033939 #00033939
\U0001f27b #0001f27b
𪃇 #0002a0c7
\U0003e011 #0003e011
\U00015aba #00015aba
\U0001eff9 #0001eff9
\U0001280d #0001280d
\U0003a2e8 #0003a2e8
\U0003cc3a #0003cc3a
\U00015b64 #00015b64
\U000314ac #000314ac
뾠 #0000bfa0
𠜫 #0002072b
\U000340de #000340de
\U000393dc #000393dc
\U00036bab #00036bab
𣬣 #00023b23
🦸 #0001f9b8
뫝 #0000badd
\U000199bd #000199bd
鉼 #0002f9ea
\U0001eb21 #0001eb21
诺 #00008bfa
\U000360c1 #000360c1
\U0001c3bc #0001c3bc
\U0003b62b #0003b62b
\U00033035 #00033035
﮲ #0000fbb2
𑒞 #0001149e
埘 #000057d8
ꕊ #0000a54a
𝃜 #0001d0dc
\U0003b08e #0003b08e
\U0003e30c #0003e30c
諪 #00008aea
\U00035c33 #00035c33
\U0001669f #0001669f
𘖤 #000185a4
\U0003e045 #0003e045
𢝈 #00022748
峤 #00005ce4
\U0003885c #0003885c
贾 #00008d3e
𘙦 #00018666
𓋌 #000132cc
促 #00004fc3
𦻻 #00026efb
\U0001e39a #0001e39a
𗆺 #000171ba
\U0003202a #0003202a
ឯ #000017af
𝋯 #0001d2ef
\U0003df72 #0003df72
寯 #00005bef
惧 #000060e7
㏭ #000033ed
꿲 #0000aff2
\ue3e5 #0000e3e5
액 #0000c561
\U0001635d #0001635d
𢮫 #00022bab
\U0001c217 #0001c217
𐁃 #00010043
𣎷 #000233b7
𘗐 #000185d0
좄 #0000c884
\U00013a38 #00013a38
\U000151c3 #000151c3
𨐸 #00028438
\U00034f95 #00034f95
\U0002ec80 #0002ec80
\U0001b4db #0001b4db
𪡧 #0002a867
\U0001c96b #0001c96b
🕭 #0001f56d
𨆧 #000281a7
胧 #000080e7
𥼅 #00025f05
𢢭 #000228ad
\U0003583e #0003583e
爳 #00007233
\U00016cc2 #00016cc2
𮥮 #0002e96e
𮋏 #0002e2cf
\U000347b8 #000347b8
䑤 #00004464
Ո #00000548
症 #000075c7
\U0001427e #0001427e
\U0001bef1 #0001bef1
𤣧 #000248e7
\U0001dc90 #0001dc90
\U00013a86 #00013a86
𰡞 #0003085e
\U00013dd5 #00013dd5
𗨁 #00017a01
𮭷 #0002eb77
\U000199cb #000199cb
\U0003f9bf #0003f9bf
\U00036e37 #00036e37
\U0003bd8b #0003bd8b
𓄗 #00013117
\U00035707 #00035707
𭯙 #0002dbd9
\U00013bfe #00013bfe
燸 #000071f8
\U00012885 #00012885
𡊖 #00021296
𓈸 #00013238
\U00031e04 #00031e04
𢱋 #00022c4b
𰔦 #00030526
\U0003784f #0003784f
𡷩 #00021de9
\U0001bd4b #0001bd4b
𠞬 #000207ac
𬈁 #0002c201
𪞈 #0002a788
地 #00005730
\U00032620 #00032620
𬬁 #0002cb01
\U00012f29 #00012f29
墆 #00005886
馁 #00009981
\U00038b02 #00038b02
ㇸ #000031f8
\U0003295c #0003295c
\U00012f62 #00012f62
\U000393bf #000393bf
𡗡 #000215e1
\U0003bfe3 #0003bfe3
\U0003b1bb #0003b1bb
\U000166d0 #000166d0
\U000193ad #000193ad
𨄪 #0002812a
𫯇 #0002bbc7
⧉ #000029c9
\U0003730f #0003730f
詬 #00008a6c
٫ #0000066b
\U00014fa3 #00014fa3
\U0001e512 #0001e512
𪘐 #0002a610
𗂿 #000170bf
𧄒 #00027112
\U00034dcc #00034dcc
\U00034631 #00034631
\U0001b741 #0001b741
𭅟 #0002d15f
𰎋 #0003038b
\U0001ef10 #0001ef10
𐄽 #0001013d
\uf4ec #0000f4ec
䒪 #000044aa
浂 #00006d42
䳍 #00004ccd
\U00010aa1 #00010aa1
\U0001ad5c #0001ad5c
铎 #000094ce
炭 #000070ad
줢 #0000c922
𝖚 #0001d59a
੯ #00000a6f
\U000123db #000123db
𣕸 #00023578
\U0003682c #0003682c
𘅜 #0001815c
\U0002f090 #0002f090
𒔆 #00012506
𫷝 #0002bddd
㫠 #00003ae0
𧘣 #00027623
𛊬 #0001b2ac
牌 #0000724c
업 #0000c5c5
\U00034c2b #00034c2b
𫦃 #0002b983
뉒 #0000b252
𧫁 #00027ac1
\U00014844 #00014844
㧝 #000039dd
𨹞 #00028e5e
𰐶 #00030436
𢌪 #0002232a
夕 #00005915
𧝱 #00027771
𰇢 #000301e2
𘪼 #00018abc
\U00014322 #00014322
\U0003c2d2 #0003c2d2
𮆸 #0002e1b8
𪢢 #0002a8a2
𣫊 #00023aca
𣼒 #00023f12
𰪱 #00030ab1
𣍃 #00023343
\U0001cd2c #0001cd2c
\uf7a3 #0000f7a3
𢯷 #00022bf7
\U00034af1 #00034af1
\U0002f406 #0002f406
\U0001b5e1 #0001b5e1
𭸒 #0002de12
ᨣ #00001a23
𝔫 #0001d52b
𰅰 #00030170
ⷊ #00002dca
춒 #0000cd92
\U0003556d #0003556d
\U0001535f #0001535f
킹 #0000d0b9
𤥎 #0002494e
