捬 #0000636c
𗃵 #000170f5
𧝙 #00027759
\U0003dfa8 #0003dfa8
\U00037608 #00037608
\U0002fc66 #0002fc66
咵 #000054b5
𩔴 #00029534
\U00033e5b #00033e5b
\U00039e81 #00039e81
\U00039612 #00039612
𗖥 #000175a5
𤕾 #0002457e
㝒 #00003752
𦃵 #000260f5
\U00037c1e #00037c1e
𦤰 #00026930
\U00019f22 #00019f22
𐊜 #0001029c
\U00039e8d #00039e8d
\U00013502 #00013502
걍 #0000ac4d
𭢴 #0002d8b4
𑑄 #00011444
\U0002b73b #0002b73b
𘧴 #000189f4
𬖢 #0002c5a2
𣹆 #00023e46
𗈳 #00017233
澧 #00006fa7
𑂬 #000110ac
\U0003ba9e #0003ba9e
벍 #0000bc8d
\U0003292e #0003292e
𪀄 #0002a004
\U000390e4 #000390e4
\U0001c329 #0001c329
ᙐ #00001650
藹 #000085f9
\U00039b5a #00039b5a
𩩐 #00029a50
\U0003aaf6 #0003aaf6
动 #000052a8
ኩ #000012a9
𘌢 #00018322
限 #00009650
\U00015ce9 #00015ce9
𑶕 #00011d95
\U000363a5 #000363a5
\U0003d94a #0003d94a
瞱 #000077b1
☌ #0000260c
畽 #0000757d
큩 #0000d069
熖 #00007196
붐 #0000bd90
\uefee #0000efee
鑗 #00009457
𬌆 #0002c306
𦣂 #000268c2
\U0001aa4f #0001aa4f
\U0001c5b2 #0001c5b2
\U0003c4ca #0003c4ca
𰝴 #00030774
\ua7d3 #0000a7d3
ｸ #0000ff78
𡗏 #000215cf
𡽨 #00021f68
𠿥 #00020fe5
↵ #000021b5
撮 #000064ae
胶 #000080f6
𣞖 #00023796
\U0002ec8c #0002ec8c
\U00033f65 #00033f65
\U00032243 #00032243
𬿢 #0002cfe2
詰 #00008a70
\U0002ef1d #0002ef1d
𣣀 #000238c0
玶 #000073b6
🢘 #0001f898
\U00014079 #00014079
\U00032a32 #00032a32
\U0001c764 #0001c764
𔓠 #000144e0
\U0003d712 #0003d712
𰚝 #0003069d
赇 #00008d47
\U0003b4e0 #0003b4e0
𱁊 #0003104a
\U0003b761 #0003b761
\U000365ba #000365ba
🛄 #0001f6c4
ꡬ #0000a86c
\U0001ea0a #0001ea0a
\U0003cb67 #0003cb67
𪚄 #0002a684
\U00036b76 #00036b76
\U00039ae8 #00039ae8
𰈄 #00030204
𘒟 #0001849f
椘 #00006918
\U0001ed42 #0001ed42
\U0002eeec #0002eeec
\U00039018 #00039018
\U0001b142 #0001b142
留 #00007559
𝅐 #0001d150
𘖽 #000185bd
\U00019dfb #00019dfb
\U000325d4 #000325d4
숹 #0000c239
\U00032e32 #00032e32
ퟒ #0000d7d2
𝌏 #0001d30f
𣨓 #00023a13
槩 #000069e9
幤 #00005e64
\U000335e5 #000335e5
𗔳 #00017533
\U000326eb #000326eb
𝂛 #0001d09b
钔 #00009494
띹 #0000b779
\U00038a6d #00038a6d
🤔 #0001f914
\U0001cf25 #0001cf25
\U00035459 #00035459
\U0003257b #0003257b
\uee66 #0000ee66
\U0001b356 #0001b356
垄 #00005784
䗱 #000045f1
汗 #00006c57
𩰺 #00029c3a
𞹏 #0001ee4f
\U0002f693 #0002f693
괳 #0000ad33
\U00011eae #00011eae
\U00031b37 #00031b37
𠖤 #000205a4
\U00038040 #00038040
\U00012887 #00012887
\U0003f131 #0003f131
⟼ #000027fc
𭄝 #0002d11d
ᤞ #0000191e
\U0003ab88 #0003ab88
\U000393b4 #000393b4
畏 #0000754f
𤲘 #00024c98
\U0003915a #0003915a
𘎿 #000183bf
𢴓 #00022d13
缩 #00007f29
\U00013cf8 #00013cf8
𒂁 #00012081
𗩩 #00017a69
𤉊 #0002424a
南 #00005357
\U0003f08c #0003f08c
𩤶 #00029936
\U0001cee4 #0001cee4
\U000390c1 #000390c1
곡 #0000ace1
\U00036f77 #00036f77
𬚌 #0002c68c
∓ #00002213
𤋌 #000242cc
\U0003552d #0003552d
𠀻 #0002003b
\U0001cc12 #0001cc12
𭨮 #0002da2e
𩗰 #000295f0
\U0003b244 #0003b244
\U000197c8 #000197c8
\U000332ed #000332ed
렿 #0000b83f
氧 #00006c27
\U000351b8 #000351b8
\U00039430 #00039430
\U000394b4 #000394b4
𧸐 #00027e10
\U0003be50 #0003be50
䢳 #000048b3
\U0003148a #0003148a
𭴹 #0002dd39
ﴡ #0000fd21
\U0001c7f5 #0001c7f5
㓽 #000034fd
\U00031f52 #00031f52
\U00037b4e #00037b4e
𘩏 #00018a4f
𤬜 #00024b1c
넞 #0000b11e
㯅 #00003bc5
𘟈 #000187c8
\U0001e4e5 #0001e4e5
\U00037553 #00037553
𗠄 #00017804
𨐊 #0002840a
\U00038df4 #00038df4
景 #0000666f
\U00035957 #00035957
𦈯 #0002622f
\U0001673c #0001673c
\U00036ddb #00036ddb
𥘺 #0002563a
\U0003907e #0003907e
𤒷 #000244b7
𘚂 #00018682
쑗 #0000c457
짉 #0000c9c9
㒗 #00003497
𗥡 #00017961
\U0002fa32 #0002fa32
嫛 #00005adb
\U00019b8b #00019b8b
퓭 #0000d4ed
\U0003e7b7 #0003e7b7
\U0001c03f #0001c03f
𓌇 #00013307
𨹵 #00028e75
\U0001a510 #0001a510
𭩭 #0002da6d
\U0003b5f1 #0003b5f1
ԭ #0000052d
\U00014bdb #00014bdb
\U00039b9b #00039b9b
\U0003fd8d #0003fd8d
\U000322f1 #000322f1
\U00018d55 #00018d55
\U0002f512 #0002f512
\U00038480 #00038480
🕤 #0001f564
𦆤 #000261a4
\U0003665c #0003665c
\U00039ccb #00039ccb
𡾲 #00021fb2
ꡅ #0000a845
\U00016256 #00016256
䪡 #00004aa1
𩒙 #00029499
\U0002f277 #0002f277
譙 #00008b59
\U0003f3dc #0003f3dc
\U00037337 #00037337
壑 #000058d1
毒 #00006bd2
蘤 #00008624
㮩 #00003ba9
\U0001ebe1 #0001ebe1
\U0003304b #0003304b
𑣿 #000118ff
\U00033278 #00033278
𥲭 #00025cad
体 #00004f53
𢴩 #00022d29
𠣴 #000208f4
𭧉 #0002d9c9
\U0001b713 #0001b713
𩻒 #00029ed2
𔘝 #0001461d
\U0003e180 #0003e180
횞 #0000d69e
𢟓 #000227d3
\U0001bad1 #0001bad1
\U0001c96a #0001c96a
𠋕 #000202d5
샱 #0000c0f1
\U0003b32d #0003b32d
\U00035902 #00035902
\uf419 #0000f419
𤄓 #00024113
\U0003ffc2 #0003ffc2
𣾳 #00023fb3
\U0003cb44 #0003cb44
𘇕 #000181d5
\U0003a5c6 #0003a5c6
\U0001e3b9 #0001e3b9
\uf0a1 #0000f0a1
ﺊ #0000fe8a
𨺤 #00028ea4
箄 #00007b84
\U00034c35 #00034c35
\U0002eec6 #0002eec6
\U0003ec1a #0003ec1a
\uec0c #0000ec0c
\U0001ad19 #0001ad19
\U0001e30c #0001e30c
脸 #00008138
𬥴 #0002c974
㔧 #00003527
𧃗 #000270d7
𫃊 #0002b0ca
鲱 #00009cb1
𦸮 #00026e2e
ꍞ #0000a35e
\U00013436 #00013436
鱋 #00009c4b
\U0003412b #0003412b
\U00010e18 #00010e18
f #00000066
𰄗 #00030117
𧛝 #000276dd
\U000332ef #000332ef
ᦅ #00001985
𗲖 #00017c96
𬸲 #0002ce32
\U0001c4ca #0001c4ca
\U0002f2ce #0002f2ce
\U00032ae3 #00032ae3
ἰ #00001f30
\U0001e14a #0001e14a
𩪣 #00029aa3
\U0003b257 #0003b257
\U00036496 #00036496
岥 #00005ca5
㏙ #000033d9
䖫 #000045ab
𮍷 #0002e377
\U000353d3 #000353d3
𡆏 #0002118f
潳 #00006f73
𱉼 #0003127c
𘏝 #000183dd
𡺉 #00021e89
悆 #00006086
\U0003d016 #0003d016
莱 #000083b1
𧵁 #00027d41
눽 #0000b23d
\U0001a5e9 #0001a5e9
𪄠 #0002a120
𓄜 #0001311c
‱ #00002031
\U0001c3af #0001c3af
\U0001fe3d #0001fe3d
𦞆 #00026786
彟 #00005f5f
\U000345ee #000345ee
\U00019474 #00019474
𫂳 #0002b0b3
𠤬 #0002092c
𨌷 #00028337
\U00038a4b #00038a4b
𢘞 #0002261e
⥎ #0000294e
\ue843 #0000e843
脊 #0000810a
ỡ #00001ee1
맩 #0000b9e9
\U0001e466 #0001e466
\U0002f368 #0002f368
\U0001e504 #0001e504
\U0003e8f9 #0003e8f9
ᶟ #00001d9f
\uece4 #0000ece4
𫝶 #0002b776
𢜜 #0002271c
붱 #0000bdb1
𣦸 #000239b8
𪧼 #0002a9fc
랈 #0000b788
\U00035cb3 #00035cb3
\U0003ee65 #0003ee65
췧 #0000cde7
\U0003738f #0003738f
\U0003c2b2 #0003c2b2
\U0003b636 #0003b636
\U00018d11 #00018d11
𬬞 #0002cb1e
𱃙 #000310d9
Ƃ #00000182
\U0002ef47 #0002ef47
𧻂 #00027ec2
\U0001ff9c #0001ff9c
═ #00002550
\U0001ece3 #0001ece3
\U00034f87 #00034f87
𧏵 #000273f5
𠉍 #0002024d
𤟾 #000247fe
\U00031759 #00031759
ل #00000644
\U0001b5cc #0001b5cc
\U0003ba9a #0003ba9a
𗴟 #00017d1f
𰥣 #00030963
\U00014cb3 #00014cb3
𥗟 #000255df
\U0001ab5e #0001ab5e
縰 #00007e30
\U0003cb18 #0003cb18
핤 #0000d564
\ue11f #0000e11f
\u0ee5 #00000ee5
\U0003ff1e #0003ff1e
\U0003308f #0003308f
衭 #0000886d
䘩 #00004629
\U00035285 #00035285
𫯑 #0002bbd1
\U0001a43b #0001a43b
𘁷 #00018077
\U000379c9 #000379c9
𐮈 #00010b88
𢬢 #00022b22
\U0003de7b #0003de7b
𗧊 #000179ca
ꔐ #0000a510
\U000137a7 #000137a7
\U00031de8 #00031de8
쭕 #0000cb55
𪀒 #0002a012
𤉡 #00024261
๔ #00000e54
𪘛 #0002a61b
\U0003ac17 #0003ac17
\U0001e5f9 #0001e5f9
𨼖 #00028f16
\U00037003 #00037003
ྭ #00000fad
𠩐 #00020a50
𮖻 #0002e5bb
\U0002f48e #0002f48e
𡨉 #00021a09
制 #00005236
\U00015fad #00015fad
𡩸 #00021a78
큖 #0000d056
ฌ #00000e0c
𥅞 #0002515e
\U000323f7 #000323f7
綇 #00007d87
\U000388ab #000388ab
\U00012b03 #00012b03
𨒵 #000284b5
푘 #0000d458
\U0003e9ca #0003e9ca
\U0002f5b5 #0002f5b5
𮭔 #0002eb54
𨁄 #00028044
眀 #00007700
\ue829 #0000e829
\U00019c74 #00019c74
\U0001b3a7 #0001b3a7
\U00010d48 #00010d48
𣲭 #00023cad
\U0001fca2 #0001fca2
\U0003b2b3 #0003b2b3
𦗼 #000265fc
笚 #00007b1a
\U00035d1b #00035d1b
𨈀 #00028200
\U0003309d #0003309d
𧰺 #00027c3a
郑 #000090d1
终 #00007ec8
\U0003a4ee #0003a4ee
\U0003acc8 #0003acc8
璼 #000074bc
𢓾 #000224fe
\U0001fc15 #0001fc15
\U00033486 #00033486
𦚳 #000266b3
뻶 #0000bef6
\U0003a6f5 #0003a6f5
径 #00005f84
\U0001c2ea #0001c2ea
𦠤 #00026824
\ueb9a #0000eb9a
𧥛 #0002795b
𗭁 #00017b41
\ue541 #0000e541
굮 #0000ad6e
\U0003d146 #0003d146
陴 #00009674
𗘾 #0001763e
\U0003d42c #0003d42c
\U0001a13a #0001a13a
𪍌 #0002a34c
ࢠ #000008a0
𝚯 #0001d6af
𩕤 #00029564
딣 #0000b523
\U00037198 #00037198
崙 #0000f9d5
\U00016dea #00016dea
\U0001d282 #0001d282
氏 #00006c0f
\U0003c0e7 #0003c0e7
捠 #00006360
\U0002fd29 #0002fd29
\U00032a67 #00032a67
\U000151d2 #000151d2
浿 #00006d7f
𗨝 #00017a1d
𭌀 #0002d300
頂 #00009802
\U0003191e #0003191e
𮡞 #0002e85e
\U0001caf4 #0001caf4
䓝 #000044dd
\U0001e745 #0001e745
𢬗 #00022b17
해 #0000d574
\U00032294 #00032294
즵 #0000c9b5
\U0003f73c #0003f73c
\U0001fd41 #0001fd41
\U0003ac4d #0003ac4d
𝄞 #0001d11e
\U0001a5ef #0001a5ef
𥱘 #00025c58
\U000330e5 #000330e5
\U00034885 #00034885
\U0003b153 #0003b153
𗈡 #00017221
\U00033ba3 #00033ba3
𬁕 #0002c055
⨚ #00002a1a
䂼 #000040bc
𩛥 #000296e5
\U00038cd0 #00038cd0
𑧍 #000119cd
𤠆 #00024806
𠞻 #000207bb
\U0003a2dc #0003a2dc
𗐨 #00017428
𣧞 #000239de
\U000161c5 #000161c5
\U0001e067 #0001e067
\U0001a5f1 #0001a5f1
\U000366f9 #000366f9
\U0001def4 #0001def4
𩎕 #00029395
𠹸 #00020e78
\U0003a24f #0003a24f
𤗗 #000245d7
\U00011b8c #00011b8c
𥈢 #00025222
\U0001e349 #0001e349
𰱅 #00030c45
𮮭 #0002ebad
\U00016020 #00016020
𣘆 #00023606
\U0003fef6 #0003fef6
𪿴 #0002aff4
𑋙 #000112d9
\U0003789c #0003789c
𢎀 #00022380
𤟝 #000247dd
\U0002fa94 #0002fa94
𐚻 #000106bb
\U0001a314 #0001a314
䧅 #000049c5
𡀅 #00021005
𘆃 #00018183
ﻲ #0000fef2
𐢖 #00010896
𣝭 #0002376d
𑌮 #0001132e
𤲀 #00024c80
\U00016f8d #00016f8d
𠐺 #0002043a
𘟦 #000187e6
𡄡 #00021121
𭉫 #0002d26b
ꚥ #0000a6a5
\U0003f857 #0003f857
쌩 #0000c329
\U0001b122 #0001b122
\U00033c93 #00033c93
\U0001e244 #0001e244
𧸺 #00027e3a
𧭭 #00027b6d
𫨎 #0002ba0e
𭟙 #0002d7d9
𭂚 #0002d09a
ꐘ #0000a418
𮤹 #0002e939
𰷝 #00030ddd
꾻 #0000afbb
𧼥 #00027f25
\U00031e8f #00031e8f
\U0003a460 #0003a460
\U0003b049 #0003b049
𧵣 #00027d63
𐆔 #00010194
𬮀 #0002cb80
\U00015a50 #00015a50
𦗃 #000265c3
𧿍 #00027fcd
𦅴 #00026174
䫽 #00004afd
䮭 #00004bad
𑚉 #00011689
\U0001ab7c #0001ab7c
𗟐 #000177d0
\U0001f2d6 #0001f2d6
\U00038243 #00038243
\U0003e28c #0003e28c
\U0003da60 #0003da60
\U00011570 #00011570
𔖚 #0001459a
\U00037c47 #00037c47
\U00031744 #00031744
𭔼 #0002d53c
𧗞 #000275de
\U0003cd24 #0003cd24
\U00039850 #00039850
𑒖 #00011496
𨄓 #00028113
㣑 #000038d1
𢅳 #00022173
\U0003d4cd #0003d4cd
𧠾 #0002783e
𦙻 #0002667b
𐡇 #00010847
𡄩 #00021129
\U0001ea31 #0001ea31
\U00039ddc #00039ddc
𓊰 #000132b0
\U000192a8 #000192a8
𦍺 #0002637a
\U0003fc24 #0003fc24
\U00011759 #00011759
ế #00001ebf
\U00038441 #00038441
퇶 #0000d1f6
𪜻 #0002a73b
⭞ #00002b5e
𩃖 #000290d6
\U0001b4c1 #0001b4c1
\U0003868d #0003868d
𮥚 #0002e95a
㯗 #00003bd7
𬅙 #0002c159
吻 #0000543b
有 #00006709
\U0001b136 #0001b136
𪛇 #0002a6c7
鏱 #000093f1
𠣢 #000208e2
𧣦 #000278e6
𩓓 #000294d3
𨗧 #000285e7
툽 #0000d23d
𥭉 #00025b49
\ue3f9 #0000e3f9
\uf10a #0000f10a
\U00033089 #00033089
𫘿 #0002b63f
숾 #0000c23e
䓻 #000044fb
\U00034539 #00034539
\U00016a99 #00016a99
휾 #0000d73e
\U0001cc62 #0001cc62
\U00016332 #00016332
𤙑 #00024651
\U0003e060 #0003e060
服 #0000670d
𰐞 #0003041e
\U0001b357 #0001b357
𡔈 #00021508
\U00039693 #00039693
𬁟 #0002c05f
\U00010abb #00010abb
鄷 #00009137
\U00031f72 #00031f72
\U0001c81a #0001c81a
\U00039406 #00039406
䂖 #0002f94c
𪲞 #0002ac9e
豶 #00008c76
\U0001bb10 #0001bb10
\U0001eed2 #0001eed2
\U000149f4 #000149f4
\U00010f6c #00010f6c
堲 #0002f856
ᨴ #00001a34
\U0002fc05 #0002fc05
𑈔 #00011214
\U0003fa2b #0003fa2b
䄮 #0000412e
\U00014b30 #00014b30
\U00039a3b #00039a3b
\U00034cc1 #00034cc1
栳 #00006833
蹥 #00008e65
𩊸 #000292b8
\U00037a85 #00037a85
掩 #000063a9
\ue506 #0000e506
\U000192b1 #000192b1
\U00014fb1 #00014fb1
⤫ #0000292b
\U0001ea8b #0001ea8b
\U0001ff4e #0001ff4e
鬻 #00009b3b
𘟔 #000187d4
\U0003da39 #0003da39
𡜪 #0002172a
\U00036d0f #00036d0f
輒 #00008f12
䳝 #00004cdd
絜 #00007d5c
\U000389f8 #000389f8
∏ #0000220f
𘲿 #00018cbf
𪵂 #0002ad42
𰰅 #00030c05
㺈 #00003e88
𱊗 #00031297
\U0003f775 #0003f775
𠜞 #0002071e
幛 #00005e5b
\U00014f60 #00014f60
\U0001b9ff #0001b9ff
𗇃 #000171c3
𧙜 #0002765c
\U0003602b #0003602b
𗟙 #000177d9
\U0001db5d #0001db5d
\U0001b7eb #0001b7eb
\U0001aca8 #0001aca8
\U0001b755 #0001b755
迈 #00008fc8
𢰥 #00022c25
멶 #0000ba76
䟊 #000047ca
\uf64d #0000f64d
\U0003fd7f #0003fd7f
\U0003e53f #0003e53f
𬌤 #0002c324
蚘 #00008698
볎 #0000bcce
\U00037e46 #00037e46
\U00032530 #00032530
擲 #000064f2
\U0001137f #0001137f
\U0001c799 #0001c799
𠤪 #0002092a
𭩵 #0002da75
𤢇 #00024887
𒓑 #000124d1
𐧂 #000109c2
\U0001da93 #0001da93
퐚 #0000d41a
痫 #000075eb
ၞ #0000105e
𮪯 #0002eaaf
𪍋 #0002a34b
\ue032 #0000e032
튶 #0000d2b6
\U0003f2cb #0003f2cb
\U0003ef27 #0003ef27
\U0001c95c #0001c95c
\U0003c218 #0003c218
\U0001580d #0001580d
ؔ #00000614
ꞹ #0000a7b9
𦂷 #000260b7
𝠵 #0001d835
\U0003d9eb #0003d9eb
\U0003a5ac #0003a5ac
\U0003dda7 #0003dda7
\U000370a5 #000370a5
犟 #0000729f
\U00037a9e #00037a9e
\U00011b7a #00011b7a
\U00035ac6 #00035ac6
𬿤 #0002cfe4
梋 #0000688b
\U00036c3b #00036c3b
\U00034dc7 #00034dc7
𩓵 #000294f5
𭜜 #0002d71c
\U00036c5a #00036c5a
\U000119f9 #000119f9
\U0001c40a #0001c40a
䝍 #0000474d
𱋰 #000312f0
𖣈 #000168c8
俶 #00004ff6
\uf2d4 #0000f2d4
𧿏 #00027fcf
𧯕 #00027bd5
𮒶 #0002e4b6
𧧺 #000279fa
\U0003b407 #0003b407
\U0003abd4 #0003abd4
𘴇 #00018d07
⡭ #0000286d
𗪧 #00017aa7
\U00039f6c #00039f6c
\U000113dc #000113dc
𗗸 #000175f8
\U00033384 #00033384
㆗ #00003197
♈ #00002648
\U000375a2 #000375a2
𡑝 #0002145d
𪇝 #0002a1dd
\U0003eedc #0003eedc
\U0002edf7 #0002edf7
\U0003d0dc #0003d0dc
𪰙 #0002ac19
\ud7c9 #0000d7c9
𭤳 #0002d933
\u088f #0000088f
\U000374d1 #000374d1
\U00038653 #00038653
\uf60d #0000f60d
𰅮 #0003016e
銻 #000092bb
ᏺ #000013fa
ዔ #000012d4
𘋎 #000182ce
𢼕 #00022f15
𨓆 #000284c6
𬍨 #0002c368
𬋣 #0002c2e3
𭶫 #0002ddab
\U0003d562 #0003d562
\U0003e752 #0003e752
뤤 #0000b924
\U00035eda #00035eda
\U00013a42 #00013a42
\U0003b475 #0003b475
虇 #00008647
𢰧 #00022c27
\U0003f1ec #0003f1ec
𡣨 #000218e8
𝚌 #0001d68c
𥖳 #000255b3
췦 #0000cde6
𗁱 #00017071
𢼋 #00022f0b
𧁒 #00027052
\U0002f1a5 #0002f1a5
𢰂 #00022c02
ꡇ #0000a847
𰦊 #0003098a
𤺵 #00024eb5
\U000375c8 #000375c8
靍 #0000974d
𠮓 #00020b93
킶 #0000d0b6
\U0003df18 #0003df18
𗛫 #000176eb
\U0001d39a #0001d39a
\U0001c6f1 #0001c6f1
\U000151fb #000151fb
\U00019a83 #00019a83
\U0001a9a8 #0001a9a8
\U00013fc1 #00013fc1
\U00018e30 #00018e30
𠲏 #00020c8f
ޜ #0000079c
\U0001a227 #0001a227
\ue2a9 #0000e2a9
𦽺 #00026f7a
\U00013bb8 #00013bb8
䛘 #000046d8
Ω #00002126
\U00039b2f #00039b2f
\U00015e4f #00015e4f
𧽽 #00027f7d
𣨶 #00023a36
쌗 #0000c317
\U0001a08b #0001a08b
🥬 #0001f96c
场 #0000573a
𢅼 #0002217c
𑒝 #0001149d
셴 #0000c174
𰳿 #00030cff
ጤ #00001324
𭻟 #0002dedf
答 #00007b54
𓅐 #00013150
촛 #0000cd1b
ꊷ #0000a2b7
겻 #0000acbb
ۊ #000006ca
量 #000091cf
𗈼 #0001723c
𨏘 #000283d8
윰 #0000c730
𢾛 #00022f9b
𓃉 #000130c9
🥸 #0001f978
𞄋 #0001e10b
ｶ #0000ff76
\U0003e37a #0003e37a
\U0001465c #0001465c
𰛄 #000306c4
\U0003db8a #0003db8a
\U0003bdda #0003bdda
𠏥 #000203e5
뱹 #0000bc79
\U00039bb0 #00039bb0
\U00010106 #00010106
\U0001f6ff #0001f6ff
𨋂 #000282c2
陃 #00009643
𠁅 #00020045
𖼹 #00016f39
붰 #0000bdb0
\U0003ef9b #0003ef9b
𣶂 #00023d82
𬬂 #0002cb02
\U0003c3b7 #0003c3b7
\U00038c93 #00038c93
厑 #00005391
𨥂 #00028942
\U0003eeea #0003eeea
𦳖 #00026cd6
𑚲 #000116b2
\U00037008 #00037008
\U00039bdf #00039bdf
瞖 #00007796
𫈑 #0002b211
𬚪 #0002c6aa
\U0003275a #0003275a
\U00016ef2 #00016ef2
\U0003a606 #0003a606
\U0002f73c #0002f73c
ꫝ #0000aadd
\U000159bc #000159bc
渄 #00006e04
\U0002fd12 #0002fd12
\U00039d46 #00039d46
\U0002f012 #0002f012
㢳 #000038b3
易 #00006613
𔘁 #00014601
逹 #00009039
\U00015ce8 #00015ce8
\u1777 #00001777
𩮲 #00029bb2
𦱮 #00026c6e
𰓦 #000304e6
𠮭 #00020bad
\U00014dea #00014dea
\U00034ade #00034ade
\U0001b65c #0001b65c
𢐀 #00022400
腕 #00008155
𥁯 #0002506f
𦧂 #000269c2
\uf14d #0000f14d
\ue074 #0000e074
𐅍 #0001014d
\U0003db59 #0003db59
ỵ #00001ef5
\U0003ca45 #0003ca45
\U0003f9ba #0003f9ba
𦀽 #0002603d
웿 #0000c6ff
涀 #00006d80
\U0003ae4e #0003ae4e
\U00039132 #00039132
\U00014f91 #00014f91
㌗ #00003317
\U00018ee7 #00018ee7
\U0001a1f7 #0001a1f7
\uf0f2 #0000f0f2
\U0003eaca #0003eaca
𠤝 #0002091d
𢷶 #00022df6
𡩹 #00021a79
⎸ #000023b8
\U0001979c #0001979c
\U0001f88b #0001f88b
𰚺 #000306ba
蛌 #000086cc
\U00031f4e #00031f4e
𧅷 #00027177
\U0001ccaf #0001ccaf
\U0001421f #0001421f
𑰾 #00011c3e
\U0001176f #0001176f
\U0003d571 #0003d571
\U0001e71f #0001e71f
㦙 #00003999
\U0003572b #0003572b
뚦 #0000b6a6
𫰞 #0002bc1e
錐 #00009310
㕽 #0000357d
殊 #00006b8a
肝 #0000809d
\U0003672e #0003672e
𪂀 #0002a080
\U00035dbd #00035dbd
⭑ #00002b51
\U00010257 #00010257
\U00037ba9 #00037ba9
\U00035f46 #00035f46
\U0003fcd0 #0003fcd0
\U000166f2 #000166f2
\U00038107 #00038107
\U00012d6a #00012d6a
\U0001e4fd #0001e4fd
𘮎 #00018b8e
沰 #00006cb0
\U00012aab #00012aab
🪐 #0001fa90
\U0003ec7b #0003ec7b
\U0003537b #0003537b
皒 #00007692
\U00013930 #00013930
מּ #0000fb3e
𩘿 #0002963f
𒓤 #000124e4
팓 #0000d313
行 #0000884c
䮀 #00004b80
\U00036042 #00036042
\U0002faba #0002faba
ꧬ #0000a9ec
\U00034914 #00034914
\U0003568d #0003568d
\U00037ac0 #00037ac0
𦠘 #00026818
\U00013f3b #00013f3b
\U0001a9ae #0001a9ae
\U000157cf #000157cf
◣ #000025e3
喳 #000055b3
𪹁 #0002ae41
\U0003db9e #0003db9e
\U0003817b #0003817b
\U0003515a #0003515a
묪 #0000bb2a
\U00034254 #00034254
𡇬 #000211ec
𨑿 #0002847f
\U0001174a #0001174a
𨿮 #00028fee
𝘍 #0001d60d
𥞽 #000257bd
\U0003366a #0003366a
𡣥 #000218e5
\U0003b235 #0003b235
\uebac #0000ebac
\U0001f8b6 #0001f8b6
\U00039c6b #00039c6b
🗑 #0001f5d1
𑆱 #000111b1
\U00036820 #00036820
璩 #000074a9
\U0001619d #0001619d
𥈏 #0002520f
𩎞 #0002939e
𗷥 #00017de5
𨯸 #00028bf8
\U00039837 #00039837
\U00033ead #00033ead
𨼬 #00028f2c
\U0001e18c #0001e18c
\U00016b9c #00016b9c
𭒺 #0002d4ba
\U00013466 #00013466
㓒 #000034d2
㳱 #00003cf1
𗼵 #00017f35
𬊵 #0002c2b5
𪊼 #0002a2bc
\U00032966 #00032966
\U00037d6e #00037d6e
\U0002fb15 #0002fb15
䦸 #000049b8
𝪩 #0001daa9
𝟟 #0001d7df
\ue537 #0000e537
𧜶 #00027736
𡀢 #00021022
\U00035b78 #00035b78
\U00010efc #00010efc
敋 #0000654b
縑 #00007e11
뉊 #0000b24a
𬓽 #0002c4fd
\U00012d82 #00012d82
\U0003b42e #0003b42e
㻍 #00003ecd
𑙡 #00011661
\U00012f03 #00012f03
\U00032c09 #00032c09
쭱 #0000cb71
滎 #00006ece
遮 #0000906e
更 #000066f4
ᩲ #00001a72
\U0003e87c #0003e87c
\U0003dfb1 #0003dfb1
𧺃 #00027e83
쉻 #0000c27b
\U000196d9 #000196d9
\U0003bdd9 #0003bdd9
\U00014824 #00014824
幔 #00005e54
𫔌 #0002b50c
\U0001bb43 #0001bb43
꼫 #0000af2b
\U0001aa97 #0001aa97
힙 #0000d799
嗌 #000055cc
\U000137e6 #000137e6
𬅬 #0002c16c
\U0003ec91 #0003ec91
粉 #00007c89
𝖂 #0001d582
\U00012945 #00012945
\U000193e1 #000193e1
𘴆 #00018d06
\U00039ef1 #00039ef1
\U00037e44 #00037e44
𥽞 #00025f5e
𓎰 #000133b0
𫪆 #0002ba86
\U00038f04 #00038f04
㒋 #0000348b
𑅖 #00011156
\U000398e7 #000398e7
\U000134be #000134be
\U00037063 #00037063
\U0001cee6 #0001cee6
\U00037937 #00037937
𫁴 #0002b074
\U0003bc57 #0003bc57
█ #00002588
\U00014e5f #00014e5f
𗶳 #00017db3
\U00033e03 #00033e03
澪 #00006faa
𫜍 #0002b70d
뭈 #0000bb48
\U00036ef0 #00036ef0
𭔊 #0002d50a
\U0003ee66 #0003ee66
\U00018e88 #00018e88
鯮 #00009bee
𝐥 #0001d425
缾 #00007f3e
𭣀 #0002d8c0
\U0003cd62 #0003cd62
\U000387bb #000387bb
\U00033f90 #00033f90
\U00034345 #00034345
\U00035185 #00035185
𒁹 #00012079
َ #0000064e
老 #00008001
🤺 #0001f93a
\U00033d99 #00033d99
𣠭 #0002382d
㷌 #00003dcc
𐕑 #00010551
𑢿 #000118bf
㭃 #00003b43
𥧶 #000259f6
㍸ #00003378
泍 #0002f8fd
𑈪 #0001122a
\U00019a96 #00019a96
\U00039752 #00039752
\U0001b55b #0001b55b
\U0003658c #0003658c
𬘣 #0002c623
\U0003ce83 #0003ce83
\ufde9 #0000fde9
𗺟 #00017e9f
\U0003363c #0003363c
幋 #00005e4b
\U0003e6bb #0003e6bb
\uf219 #0000f219
